# Descriptive key followed by an ordered, pipe-separated preference list.
utility_inventory_fragments	rune pouch|book of the dead|herb sack|gem bag|bonecrusher|goading potion|bag of salt|rock hammer|ice cooler|fungicide|slayer bell|fishing explosive|crystal chime
switch_inventory_fragments	sceptre|switch
rune_ammunition_fragments	 rune|cannon|dart|arrow|bolt
boost_inventory_fragments	heart|combat potion|ranging potion|magic potion|bastion potion|battlemage potion|ancient brew|forgotten brew
protection_inventory_fragments	antivenom|anti venom|antipoison|stamina|antifire
restore_inventory_fragments	super restore|prayer potion|prayer restoration|prayer regeneration
bank_food_names	anglerfish|manta ray|dark crab|shark|sea turtle|karambwan|guthix rest|monkfish|high healing food
bank_utility_names	herb sack|seed box|soul bearer|bonecrusher|ash sanctifier|holy wrench|looting bag|gem bag|book of the dead|explorer s ring|rock hammer|bag of salt|ice cooler|slayer bell|fungicide|fishing explosive|task tool
body_armor_fragments	robe top|robetop|leathertop|platebody|chainbody|chestplate|hauberk|torso|tunic
leg_armor_fragments	robe bottom|robebottom|robeskirt|leatherskirt|platelegs|plateskirt|chainskirt|tassets|chaps|trousers|cuisse
direct_teleport_fragments	teleport|slayer ring|xeric|rada|drakan|digsite pendant|fairy ring
cannon_restricted_locations	catacombs|slayer tower|fremennik slayer dungeon|karuulm|kraken|god wars|mos le harmless
restore_potion_names	super restore|prayer potion|prayer restoration|prayer regeneration|sanfew serum
protection_potion_names	anti venom|antivenom|antipoison|stamina potion|antifire
boost_potion_names	combat potion|ranging potion|magic potion|bastion potion|battlemage potion|ancient brew|forgotten brew|imbued heart|saturated heart
unusable_equipment_fragments	broken|mangled|depleted|inactive|max hood
task_head_protection_fragments	earmuff|face mask|nose peg|spiny helmet|goggle
powered_magic_weapon_fragments	magic|mage|powered staff|tumeken|trident
wilderness_slayer_cave_tasks	abyssal demons|ankou|black demons|dust devils|greater demons|hellhounds
travel_item_fragments	giantsoul amulet|dramen staff|lunar staff|cowbell amulet|guthixian temple teleport|games necklace|key master teleport|barrows teleport|morytania legs 3|morytania legs 4|ring of shadows|burning amulet|royal seed pod|seed pod|digsite pendant|drakan s medallion|varrock teleport|varrock tablet|amulet of glory|ring of dueling|skills necklace|combat bracelet|ectophial|mort ton teleport|pollnivneach teleport|zul andra teleport|xeric s talisman|rada s blessing|slayer ring|max cape|construction cape|teleport to house|house tab
desert_heat_tasks	crocodiles|crocodile|lizards|lizard|bandits|bandit
