# task<TAB>location<TAB>travel<TAB>cannon
Lesser demons	Karamja	Amulet of glory to Karamja	Not allowed
Ice giants	Asgarnian Ice Dungeon	Falador teleport, then run south	Optional
Ice warriors	Ice Mountain	Combat bracelet to the Monastery	Optional
Scabarites	Sophanem Dungeon	Pharaoh's sceptre to Sophanem	Optional
Shades	Mort'ton	Mort'ton teleport	Not allowed
Shadow warriors	Legends' Guild basement	Fairy ring BLR or quest cape	Not allowed
Wall beasts	Lumbridge Swamp Caves	Lumbridge teleport, then enter the swamp caves	Not allowed
Warped Creatures	Poison Waste Dungeon	Teleport crystal to Prifddinas, then travel south	Recommended
Aquanites	Ynysdail Cavern	Use the built Gwenith rowboat when available; otherwise travel to Port Roberts and sail to Ynysdail with an adamant keel or better	Not allowed
Dwarves	Dwarven Mine	Skills necklace to the Mining Guild	Not allowed
Green dragons	Wilderness green dragon area	Burning amulet or games necklace, with an emergency teleport	Optional
Icefiends	Ice Mountain	Combat bracelet to the Monastery	Not allowed
Killerwatts	Killerwatt plane	Fairy ring to Zanaris, then enter the Killerwatt portal	Not allowed
Monkeys	Karamja	Amulet of glory to Karamja	Not allowed
Scorpions	Al Kharid mine	Ring of dueling to Emir's Arena	Optional
Smoke devils	Smoke Devil Dungeon	Ring of dueling to Emir's Arena	Recommended
Dark warriors	Wilderness	Start from Ferox Enclave and keep an emergency teleport	Optional
Ents	Wilderness	Start from Ferox Enclave and keep an emergency teleport	Optional
Lava Dragons	Wilderness	Start from Ferox Enclave and keep an emergency teleport	Optional
Magic axes	Wilderness	Start from Ferox Enclave and keep an emergency teleport	Optional
Mammoths	Wilderness	Start from Ferox Enclave and keep an emergency teleport	Optional
Pirates	Wilderness	Start from Ferox Enclave and keep an emergency teleport	Optional
Revenants	Wilderness	Start from Ferox Enclave and keep an emergency teleport	Optional
Rogues	Wilderness	Start from Ferox Enclave and keep an emergency teleport	Optional
Custodian Stalkers	Stalker Den	Pendant of ates to Nemus Retreat, fairy ring AIS to Auburn Valley, or fairy ring BLS to the Kebos side of Custodia Pass	Recommended
Lesser Nagua	Ruins of Tapoyauik	Pendant of ates to Tapoyauik	Not allowed
Amoxliatl	Ruins of Tapoyauik	Pendant of ates to Tapoyauik	Not allowed
Araxytes	Morytania Spider Cave	Drakan's medallion, then travel to the Araxyte cave	Recommended
Araxxor	Morytania Spider Cave	Drakan's medallion, then travel to the Araxyte cave	Recommended
The Shellbane Gryphon	Shellbane Gryphon Cave	Fairy ring CJQ to the Great Conch, then run north; charter ship to the Great Conch is the non-fairy-ring alternative	Not allowed
The Maggot King	Maggot King's lair	Drakan's medallion to Castle Drakan, enter Vampyrium, then use the unlocked Aranei scout shortcut east of Sangvesti	Not allowed
The Abyssal Sire	Abyssal Nexus	Fairy ring DIP lands inside the Abyssal Nexus	Not allowed
The Alchemical Hydra	Karuulm Slayer Dungeon	Rada's blessing to Mount Karuulm	Not allowed
Artio	Hunter's End	Ring of dueling to Ferox Enclave; Carrallanger or games necklace fallback	Not allowed
Callisto	Callisto's Den	Annakarl teleport; games necklace to Corporeal Beast fallback	Not allowed
Barrows Brothers	Barrows	Barrows teleport	Not allowed
Cerberus	Cerberus' Lair	Key master teleport or Taverley route	Not allowed
The Chaos Elemental	Deep Wilderness	Burning amulet or Wilderness obelisk	Not allowed
The Chaos Fanatic	Deep Wilderness	Burning amulet or Wilderness obelisk	Not allowed
Crazy Archaeologist	Deep Wilderness	Burning amulet or Wilderness obelisk	Not allowed
Crazy Archaeologists	Deep Wilderness	Burning amulet or Wilderness obelisk	Not allowed
Scorpia	Deep Wilderness	Burning amulet or Wilderness obelisk	Not allowed
Deranged Archaeologist	Fossil Island	Digsite pendant to Fossil Island	Not allowed
Dagannoth Kings	Waterbirth Island Dungeon	Waterbirth teleport	Not allowed
Duke Sucellus	Ghorrock Dungeon	Ring of shadows with frozen tablet; icy basalt or Weiss portal fallback	Not allowed
General Graardor	God Wars Dungeon	Ghommal's hilt or Trollheim teleport	Not allowed
Kree'arra	God Wars Dungeon	Ghommal's hilt or Trollheim teleport	Not allowed
K'ril Tsutsaroth	God Wars Dungeon	Ghommal's hilt or Trollheim teleport	Not allowed
Commander Zilyana	God Wars Dungeon	Ghommal's hilt or Trollheim teleport	Not allowed
The Giant Mole	Falador Mole Lair	Ring of wealth to Falador Park, then use a spade	Not allowed
The Grotesque Guardians	Slayer Tower rooftop	Slayer ring to Slayer Tower	Not allowed
The Kalphite Queen	Kalphite Lair	Fairy ring BIQ; Desert amulet 4 to Kalphite Cave fallback	Not allowed
The King Black Dragon	King Black Dragon Lair	Burning amulet to Lava Maze	Not allowed
The Cave Kraken Boss	Kraken Cove	Piscatoris or fairy-ring route	Not allowed
Kraken	Kraken Cove	Piscatoris or fairy-ring route	Not allowed
The Phantom Muspah	Ghorrock Dungeon	Ring of shadows with frozen tablet; Weiss portal or fairy ring DKS fallback	Not allowed
The Leviathan	The Scar	Ring of shadows with scarred tablet; amulet of the eye fallback	Not allowed
The Whisperer	Lassar Undercity	Ring of shadows with sirenic tablet; Mind Altar teleport fallback	Not allowed
Vardorvis	Stranglewood Temple	Ring of shadows with strangled tablet; Xeric's Honour fallback	Not allowed
Sarachnis	Forthos Dungeon	Xeric's talisman to Xeric's Glade	Not allowed
Skotizo	Catacombs of Kourend	Xeric's talisman to Xeric's Heart	Not allowed
The Thermonuclear Smoke Devil	Smoke Devil Dungeon	Ring of dueling to Emir's Arena	Not allowed
Scurrius	Varrock Sewers	Varrock teleport	Not allowed
Bryophyta	Varrock Sewers	Varrock teleport	Not allowed
Obor	Edgeville Dungeon	Amulet of glory to Edgeville	Not allowed
Brutus	Lumbridge cow field	Cowbell amulet	Not allowed
Demonic gorillas	Crash Site Cavern	Royal seed pod to the Grand Tree	Not allowed
Tormented demons	Ancient Guthixian Temple	Guthixian temple teleport; games necklace to Tears of Guthix fallback	Not allowed
Royal Titans	Royal Titans arena	Giantsoul amulet; fairy ring AIQ fallback	Not allowed
Spindel	Wilderness boss cave	Burning amulet or Wilderness obelisk	Not allowed
Venenatis	Wilderness boss cave	Burning amulet or Wilderness obelisk	Not allowed
Calvar'ion	Wilderness boss cave	Burning amulet or Wilderness obelisk	Not allowed
Vet'ion	Wilderness boss cave	Burning amulet or Wilderness obelisk	Not allowed
Vorkath	Ungael	Fremennik sea boots or enchanted lyre to Rellekka	Not allowed
TzTok-Jad	Fight Caves	Ghommal's hilt or fairy ring BLP	Not allowed
TzKal-Zuk	Mor Ul Rek east bank	Ghommal's hilt to Mor Ul Rek	Not allowed
Zulrah	Zul-Andra	Zul-andra teleport	Not allowed
